method,seed,sample_index,true_class,original_class,counterfactual_class,time_seconds,num_grad_updates_used,EN,IM1,IM2,is_satisfactory
B,43,1121,0,0,6,2.405163299990818,429,36.86137046813965,20.75257110595703,0.6896878480911255,1
C,43,1121,0,0,6,0.22121699998388067,43,18.119029235839843,4.832503318786621,0.5897523164749146,1
D,43,1121,0,0,6,0.26948080002330244,42,18.470498847961426,7.076874732971191,0.6223917603492737,1
E,43,1121,0,0,6,0.18402569997124374,44,18.323448181152344,4.84655237197876,0.5898205637931824,1
F,43,1121,0,0,6,0.2174230000237003,41,18.230514144897462,7.053109169006348,0.6223694682121277,1
A,44,1121,0,0,0,2.1284158999915235,500,0.06484411964192986,0.9999998807907104,0.06058816984295845,0
B,44,1121,0,0,6,2.3727039999794215,429,36.86137046813965,20.75257110595703,0.6896878480911255,1
C,44,1121,0,0,6,0.21398830000543967,43,18.119029235839843,4.832503318786621,0.5897523164749146,1
D,44,1121,0,0,6,0.2586635999614373,42,18.470498847961426,7.076874732971191,0.6223917603492737,1
E,44,1121,0,0,6,0.1761926999897696,44,18.323448181152344,4.84655237197876,0.5898205637931824,1
F,44,1121,0,0,6,0.23285740002756938,41,18.230514144897462,7.053109169006348,0.6223694682121277,1
A,42,2295,0,0,0,2.1342125000082888,500,0.033295292413095014,0.9999998807907104,0.06198502704501152,0
B,42,2295,0,0,0,2.7968812999897636,500,44.737098693847656,0.9999998211860657,0.049269773066043854,0
C,42,2295,0,0,6,0.16211039997870103,29,18.61134567260742,2.8463001251220703,0.3415728807449341,1
D,42,2295,0,0,6,0.18516340001951903,29,18.654278182983397,3.1556482315063477,0.3553103506565094,1
E,42,2295,0,0,6,0.1195898000150919,29,18.55782070159912,2.851414442062378,0.3423186242580414,1
F,42,2295,0,0,6,0.15034980000928044,29,18.729843521118163,3.145866870880127,0.3553376793861389,1
A,43,2295,0,0,0,2.146299400017597,500,0.033295292413095014,0.9999998807907104,0.06198502704501152,0
B,43,2295,0,0,0,2.873503200011328,500,44.737098693847656,0.9999998211860657,0.049269773066043854,0
C,43,2295,0,0,6,0.15394729998661205,29,18.61134567260742,2.8463001251220703,0.3415728807449341,1
D,43,2295,0,0,6,0.17535890004364774,29,18.654278182983397,3.1556482315063477,0.3553103506565094,1
E,43,2295,0,0,6,0.11968799994792789,29,18.55782070159912,2.851414442062378,0.3423186242580414,1
